Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/rb125-1_girvan-newman.clu,0.2174,0.2991,0.3297
nets/rb125_infomap.clu,0.1667,0.6648,0.3361
nets/rb125_louvain.clu,0.6167,0.8450,0.1223
