Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/rb125-2_girvan-newman.clu,0.9647,0.9935,0.0086
nets/rb125_infomap.clu,0.8519,0.9711,0.0386
nets/rb125_louvain.clu,0.2703,0.8119,0.2111
