Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/graph4+4_girvan-newman.clu,1.0000,1.0000,0.0000
nets/graph4+4_infomap.clu,1.0000,1.0000,0.0000
nets/graph4+4_louvain.clu,0.4615,0.5856,0.3538
