Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/football_girvan-newman.clu,0.8081,0.9214,0.0811
nets/football_infomap.clu,0.8264,0.9242,0.0784
nets/football_louvain.clu,0.7004,0.8903,0.1095
