Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/dolphins_infomap.clu,0.3894,0.5194,0.2529
nets/dolphins_louvain.clu,0.3793,0.5139,0.2530
