Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/rb125-3_girvan-newman.clu,1.0000,1.0000,0.0000
nets/rb125_infomap.clu,0.8042,0.9664,0.0447
nets/rb125_louvain.clu,0.2659,0.8089,0.2152
