Partition1,Jaccard_Index,Normalized_Mutual_Information_Index_(arithmetic),Normalized_Variation_Of_Information_Metric
nets/graph3+1+3_girvan-newman.clu,1.0000,1.0000,0.0000
nets/graph3+1+3_infomap.clu,0.6667,0.8095,0.1651
nets/graph3+1+3_louvain.clu,0.6667,0.8095,0.1651
